iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$69,783,236,901"
Shares Outstanding,"332,750,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"AET","AETNA INC","US00817Y1082","2695921","0.2218","Health Care","Equity","$155,975,665","1,321,044","118.07","New York Stock Exchange Inc.","155,975,665.08"
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","US1924461023","2257019","0.2212","Information Technology","Equity","$155,528,801","2,309,605","67.34","NASDAQ","155,528,800.70"
"ANTM","ANTHEM INC","US0367521038","BSPHGL4","0.2206","Health Care","Equity","$155,064,663","1,000,740","154.95","New York Stock Exchange Inc.","155,064,663.00"
"SCHW","CHARLES SCHWAB CORP","US8085131055","2779397","0.2200","Financials","Equity","$154,709,239","4,372,788","35.38","New York Stock Exchange Inc.","154,709,239.44"
"AMT","AMERICAN TOWER REIT CORP","US03027X1000","B7FBFL2","0.2200","Financials","Equity","$154,678,892","1,600,568","96.64","New York Stock Exchange Inc.","154,678,891.52"
"PRU","PRUDENTIAL FINANCIAL INC","US7443201022","2819118","0.2190","Financials","Equity","$153,995,059","1,713,722","89.86","New York Stock Exchange Inc.","153,995,058.92"
"SO","SOUTHERN","US8425871071","2829601","0.2180","Utilities","Equity","$153,278,666","3,435,971","44.61","New York Stock Exchange Inc.","153,278,666.31"
"ADBE","ADOBE SYSTEM INC","US00724F1012","2008154","0.2132","Information Technology","Equity","$149,909,069","1,797,902","83.38","NASDAQ","149,909,068.76"
"YUM","YUM BRANDS INC","US9884981013","2098876","0.2072","Consumer Discretionary","Equity","$145,650,653","1,635,789","89.04","New York Stock Exchange Inc.","145,650,652.56"
"ADP","AUTOMATIC DATA PROCESSING INC","US0530151036","2065308","0.2068","Information Technology","Equity","$145,366,172","1,776,224","81.84","NASDAQ","145,366,172.16"
"KR","KROGER","US5010441013","2497406","0.2062","Consumer Staples","Equity","$144,943,382","3,708,889","39.08","New York Stock Exchange Inc.","144,943,382.12"
"DAL","DELTA AIR LINES INC","US2473617023","B1W9D46","0.2046","Industrials","Equity","$143,856,276","3,107,047","46.30","New York Stock Exchange Inc.","143,856,276.10"
"CI","CIGNA CORP","US1255091092","2196479","0.2043","Health Care","Equity","$143,657,779","973,621","147.55","New York Stock Exchange Inc.","143,657,778.55"
"APC","ANADARKO PETROLEUM CORP","US0325111070","2032380","0.2023","Energy","Equity","$142,213,175","1,921,540","74.01","New York Stock Exchange Inc.","142,213,175.40"
"RAI","REYNOLDS AMERICAN INC","US7617131062","2429090","0.1967","Consumer Staples","Equity","$138,315,781","1,572,485","87.96","New York Stock Exchange Inc.","138,315,780.60"
"ACE","ACE LTD","CH0044328745","B3BQMF6","0.1953","Financials","Equity","$137,302,560","1,235,513","111.13","New York Stock Exchange Inc.","137,302,559.69"
