iShares Japan Large-Cap ETF
Inception Date,"Oct 23, 2001"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$83,907,585"
Shares Outstanding,"1,500,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"8267","JP3388200002","6480048","AEON LTD","0.4103","Equity","Consumer Staples","Japan","$343,536","27,000","12.72","Tokyo Stock Exchange","USD","JPY","119.94","343,536.08"
"9021","JP3659000008","6957995","WEST JAPAN RAILWAY","0.4079","Equity","Industrials","Japan","$341,485","6,000","56.91","Tokyo Stock Exchange","USD","JPY","119.94","341,484.97"
"6702","JP3818000006","6356945","FUJITSU LTD","0.4005","Equity","Information Technology","Japan","$335,282","60,000","5.59","Tokyo Stock Exchange","USD","JPY","119.94","335,281.61"
"8035","JP3571400005","6895675","TOKYO ELECTRON LTD","0.3879","Equity","Information Technology","Japan","$324,768","5,500","59.05","Tokyo Stock Exchange","USD","JPY","119.94","324,767.58"
"8002","JP3877600001","6569464","MARUBENI CORP","0.3806","Equity","Industrials","Japan","$318,638","54,000","5.90","Tokyo Stock Exchange","USD","JPY","119.94","318,637.60"
"1928","JP3420600003","6793906","SEKISUI HOUSE LTD","0.3779","Equity","Consumer Discretionary","Japan","$316,421","20,000","15.82","Tokyo Stock Exchange","USD","JPY","119.94","316,421.39"
"9502","JP3526600006","6195609","CHUBU ELECTRIC POWER INC","0.3716","Equity","Utilities","Japan","$311,137","22,500","13.83","Tokyo Stock Exchange","USD","JPY","119.94","311,137.28"
"5713","JP3402600005","6858849","SUMITOMO METAL MINING LTD","0.3646","Equity","Materials","Japan","$305,249","20,000","15.26","Tokyo Stock Exchange","USD","JPY","119.94","305,248.68"
"4188","JP3897700005","B0JQTJ0","MITSUBISHI CHEMICAL CORP","0.3589","Equity","Materials","Japan","$300,483","48,000","6.26","Tokyo Stock Exchange","USD","JPY","119.94","300,482.76"
"9202","JP3429800000","6014908","ANA HOLDINGS INC","0.3589","Equity","Industrials","Japan","$300,463","110,000","2.73","Tokyo Stock Exchange","USD","JPY","119.94","300,462.75"
"6762","JP3538800008","6869302","TDK CORP","0.3526","Equity","Information Technology","Japan","$295,160","4,000","73.79","Tokyo Stock Exchange","USD","JPY","119.94","295,159.88"
"7202","JP3137200006","6467104","ISUZU MOTORS LTD","0.3406","Equity","Consumer Discretionary","Japan","$285,142","21,000","13.58","Tokyo Stock Exchange","USD","JPY","119.94","285,141.95"
"2267","JP3931600005","6985112","YAKULT HONSHA LTD","0.3357","Equity","Consumer Staples","Japan","$281,027","4,500","62.45","Tokyo Stock Exchange","USD","JPY","119.94","281,027.22"
"4005","JP3401400001","6858560","SUMITOMO CHEMICAL LTD","0.3326","Equity","Materials","Japan","$278,484","50,000","5.57","Tokyo Stock Exchange","USD","JPY","119.94","278,484.18"
"7012","JP3224200000","6484620","KAWASAKI HEAVY INDUSTRIES LTD","0.3292","Equity","Industrials","Japan","$275,608","55,000","5.01","Tokyo Stock Exchange","USD","JPY","119.94","275,607.62"
"6701","JP3733000008","6640400","NEC CORP","0.3251","Equity","Information Technology","Japan","$272,147","80,000","3.40","Tokyo Stock Exchange","USD","JPY","119.94","272,147.41"
"7259","JP3102000001","6010702","AISIN SEIKI LTD","0.3239","Equity","Consumer Discretionary","Japan","$271,147","6,000","45.19","Tokyo Stock Exchange","USD","JPY","119.94","271,146.87"
"4543","JP3546800008","6885074","TERUMO CORP","0.3233","Equity","Health Care","Japan","$270,684","11,500","23.54","Tokyo Stock Exchange","USD","JPY","119.94","270,684.12"
"9503","JP3228600007","6483489","KANSAI ELECTRIC POWER INC","0.3157","Equity","Utilities","Japan","$264,281","25,500","10.36","Tokyo Stock Exchange","USD","JPY","119.94","264,280.65"
"9532","JP3180400008","6661768","OSAKA GAS LTD","0.3149","Equity","Utilities","Japan","$263,664","65,000","4.06","Tokyo Stock Exchange","USD","JPY","119.94","263,663.65"
"5201","JP3112000009","6055208","ASAHI GLASS LTD","0.3143","Equity","Industrials","Japan","$263,143","40,000","6.58","Tokyo Stock Exchange","USD","JPY","119.94","263,142.54"
"9064","JP3940000007","6985565","YAMATO HOLDINGS LTD","0.3132","Equity","Industrials","Japan","$262,225","12,500","20.98","Tokyo Stock Exchange","USD","JPY","119.94","262,225.37"
"7752","JP3973400009","6738220","RICOH CO LTD","0.2985","Equity","Information Technology","Japan","$249,921","23,500","10.63","Tokyo Stock Exchange","USD","JPY","119.94","249,920.79"
"4612","JP3749400002","6640507","NIPPON PAINT HOLDINGS LTD","0.2886","Equity","Materials","Japan","$241,631","7,000","34.52","Tokyo Stock Exchange","USD","JPY","119.94","241,630.88"
"6471","JP3720800006","6641544","NSK LTD","0.2829","Equity","Industrials","Japan","$236,878","15,000","15.79","Tokyo Stock Exchange","USD","JPY","119.94","236,878.31"
"6586","JP3862400003","6555805","MAKITA CORP","0.2752","Equity","Industrials","Japan","$230,375","4,500","51.19","Tokyo Stock Exchange","USD","JPY","119.94","230,374.79"
"5333","JP3695200000","6619507","NGK INSULATORS LTD","0.2715","Equity","Industrials","Japan","$227,290","10,000","22.73","Tokyo Stock Exchange","USD","JPY","119.94","227,289.78"
"9005","JP3574200006","6896548","TOKYU CORP","0.2691","Equity","Industrials","Japan","$225,289","35,000","6.44","Tokyo Stock Exchange","USD","JPY","119.94","225,288.70"
"4911","JP3351600006","6805265","SHISEIDO LTD","0.2682","Equity","Consumer Staples","Japan","$224,549","12,500","17.96","Tokyo Stock Exchange","USD","JPY","119.94","224,548.71"
