iShares Europe ETF
Inception Date,"Jul 25, 2000"
Fund Holdings as of,"11-May-2015"
Total Net Assets,"$2,970,539,105"
Shares Outstanding,"63,800,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,ISIN,SEDOL,Name,Weight (%),Asset Class,Sector,Country,Market Value,Shares,Price,Exchange,Currency,Market Currency,FX Rate,Notional Value
"SREN","CH0126881561","B545MG5","SWISS RE AG","0.3497","Equity","Financials","Switzerland","$10,433,706","118,581","87.99","Six Swiss Exchange Ag","USD","CHF","0.93","10,433,705.51"
"RR","GB00B63H8491","B63H849","ROLLS-ROYCE HOLDINGS PLC","0.3441","Equity","Industrials","United Kingdom","$10,266,117","646,777","15.87","London Stock Exchange","USD","GBP","0.64","10,266,116.69"
"MUV2","DE0008430026","5294121","MUNICH REINSURANCE COMPANY","0.3436","Equity","Financials","Germany","$10,250,640","52,935","193.65","Xetra","USD","EUR","0.90","10,250,640.29"
"TSCO","GB0008847096","0884709","TESCO PLC","0.3369","Equity","Consumer Staples","United Kingdom","$10,052,372","2,778,396","3.62","London Stock Exchange","USD","GBP","0.64","10,052,372.17"
"DG","FR0000125486","B1XH026","VINCI SA","0.3168","Equity","Industrials","France","$9,452,642","159,634","59.21","Nyse Euronext - Euronext Paris","USD","EUR","0.90","9,452,641.91"
"UL","FR0000124711","B1YY4B3","UNIBAIL-RODAMCO SE REIT","0.3152","Equity","Financials","France","$9,405,285","34,989","268.81","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.90","9,405,284.89"
"G","IT0000062072","4056719","ASSICURAZIONI GENERALI","0.3058","Equity","Financials","Italy","$9,124,528","468,633","19.47","Borsa Italiana S.P.A.","USD","EUR","0.90","9,124,527.73"
"NOK1V","FI0009000681","5902941","NOKIA","0.3009","Equity","Information Technology","Finland","$8,976,831","1,289,013","6.96","Nasdaq Omx Helsinki Ltd.","USD","EUR","0.90","8,976,830.58"
"PHIA","NL0000009538","5986622","KONINKLIJKE PHILIPS NV","0.2990","Equity","Industrials","Netherlands","$8,922,605","322,957","27.63","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.90","8,922,604.73"
"CON","DE0005439004","4598589","CONTINENTAL AG","0.2982","Equity","Consumer Discretionary","Germany","$8,896,948","37,160","239.42","Xetra","USD","EUR","0.90","8,896,947.72"
"RI","FR0000120693","4682329","PERNOD RICARD SA","0.2976","Equity","Consumer Staples","France","$8,879,574","72,093","123.17","Nyse Euronext - Euronext Paris","USD","EUR","0.90","8,879,573.51"
"BA.","GB0002634946","0263494","BAE SYSTEMS PLC","0.2935","Equity","Industrials","United Kingdom","$8,755,906","1,103,264","7.94","London Stock Exchange","USD","GBP","0.64","8,755,905.80"
"SSE","GB0007908733","0790873","SSE PLC","0.2912","Equity","Utilities","United Kingdom","$8,688,350","341,065","25.47","London Stock Exchange","USD","GBP","0.64","8,688,349.67"
"ARM","GB0000595859","0059585","ARM HOLDINGS PLC","0.2902","Equity","Information Technology","United Kingdom","$8,657,731","486,325","17.80","London Stock Exchange","USD","GBP","0.64","8,657,730.78"
"LGEN","GB0005603997","0560399","LEGAL & GENERAL GROUP PLC","0.2858","Equity","Financials","United Kingdom","$8,526,067","2,040,577","4.18","London Stock Exchange","USD","GBP","0.64","8,526,066.87"
"AAL","GB00B1XZS820","B1XZS82","ANGLO AMERICAN PLC","0.2822","Equity","Materials","United Kingdom","$8,418,738","479,608","17.55","London Stock Exchange","USD","GBP","0.64","8,418,737.64"
"FRE","DE0005785604","4352097","FRESENIUS SE AND CO KGAA","0.2799","Equity","Health Care","Germany","$8,352,411","135,983","61.42","Xetra","USD","EUR","0.90","8,352,410.65"
"EI","FR0000121667","7212477","ESSILOR INTERNATIONAL SA","0.2797","Equity","Health Care","France","$8,346,230","68,195","122.39","Nyse Euronext - Euronext Paris","USD","EUR","0.90","8,346,230.05"
"SAF","FR0000073272","B058TZ6","SAFRAN SA","0.2783","Equity","Industrials","France","$8,303,941","111,893","74.21","Nyse Euronext - Euronext Paris","USD","EUR","0.90","8,303,941.22"
"SAMAS","FI0009003305","5226038","SAMPO OYJ","0.2745","Equity","Financials","Finland","$8,190,496","167,002","49.04","Nasdaq Omx Helsinki Ltd.","USD","EUR","0.90","8,190,495.69"
"CRG","IE0001827041","4182249","CRH PLC","0.2706","Equity","Materials","Ireland","$8,075,571","281,504","28.69","Irish Stock Exchange - All Market","USD","EUR","0.90","8,075,571.05"
"SWED A","SE0000242455","4846523","SWEDBANK","0.2704","Equity","Financials","Sweden","$8,068,140","347,927","23.19","Nasdaq Omx Nordic","USD","SEK","8.29","8,068,140.15"
"CA","FR0000120172","5641567","CARREFOUR SA","0.2668","Equity","Consumer Staples","France","$7,959,214","231,394","34.40","Nyse Euronext - Euronext Paris","USD","EUR","0.90","7,959,213.54"
"SGO","FR0000125007","7380482","COMPAGNIE DE SAINT GOBAIN SA","0.2648","Equity","Industrials","France","$7,899,891","171,737","46.00","Nyse Euronext - Euronext Paris","USD","EUR","0.90","7,899,891.27"
"DANSKE","DK0010274414","4588825","DANSKE BANK","0.2626","Equity","Financials","Denmark","$7,836,399","268,508","29.18","Omx Nordic Exchange Copenhagen A/S","USD","DKK","6.69","7,836,398.64"
"CNA","GB00B033F229","B033F22","CENTRICA PLC","0.2577","Equity","Utilities","United Kingdom","$7,689,000","1,760,884","4.37","London Stock Exchange","USD","GBP","0.64","7,689,000.18"
"EUR","-","-","EUR CASH","0.2571","Cash","Cash and/or Derivatives","European Union","$7,671,539","6,879","111.52","-","USD","EUR","0.90","7,671,538.95"
"SHB A","SE0000193120","5703661","SVENSKA HANDELSBANKEN A","0.2571","Equity","Financials","Sweden","$7,671,579","168,481","45.53","Nasdaq Omx Nordic","USD","SEK","8.29","7,671,578.71"
"RNO","FR0000131906","4712798","RENAULT PAR SA","0.2539","Equity","Consumer Discretionary","France","$7,574,847","71,202","106.39","Nyse Euronext - Euronext Paris","USD","EUR","0.90","7,574,846.84"
"STL","NO0010096985","7133608","STATOIL ASA","0.2532","Equity","Energy","Norway","$7,555,919","363,329","20.80","Oslo Bors Asa","USD","NOK","7.55","7,555,918.75"
"KBC","BE0003565737","4497749","KBC GROEP","0.2467","Equity","Financials","Belgium","$7,360,073","113,306","64.96","Nyse Euronext - Euronext Brussels","USD","EUR","0.90","7,360,073.08"
"VOLV B","SE0000115446","B1QH830","VOLVO CLASS B","0.2466","Equity","Industrials","Sweden","$7,359,204","555,516","13.25","Nasdaq Omx Nordic","USD","SEK","8.29","7,359,203.80"
"ML","FR0000121261","4588364","MICHELIN","0.2424","Equity","Consumer Discretionary","France","$7,232,286","64,404","112.30","Nyse Euronext - Euronext Paris","USD","EUR","0.90","7,232,286.14"
"SEB A","SE0000148884","4813345","SKANDINAVISKA ENSKILDA BANKEN","0.2422","Equity","Financials","Sweden","$7,226,735","592,460","12.20","Nasdaq Omx Nordic","USD","SEK","8.29","7,226,734.63"
"HEN3","DE0006048432","5076705","HENKEL AG & CO KGAA PREF","0.2412","Equity","Consumer Staples","Germany","$7,195,457","61,306","117.37","Xetra","USD","EUR","0.90","7,195,456.87"
"REP","ES0173516115","5669354","REPSOL SA","0.2387","Equity","Energy","Spain","$7,122,889","351,148","20.28","Bolsa De Madrid","USD","EUR","0.90","7,122,889.17"
"AMS","ES0109067019","B3MSM28","AMADEUS IT HOLDING SA","0.2345","Equity","Information Technology","Spain","$6,996,048","154,011","45.43","Bolsa De Madrid","USD","EUR","0.90","6,996,047.51"
"ASSA B","SE0000255648","5698789","ASSA ABLOY B","0.2274","Equity","Industrials","Sweden","$6,784,356","116,132","58.42","Nasdaq Omx Nordic","USD","SEK","8.29","6,784,355.68"
"ATCO A","SE0000101032","B1QGR41","ATLAS COPCO A","0.2273","Equity","Industrials","Sweden","$6,781,181","220,844","30.71","Nasdaq Omx Nordic","USD","SEK","8.29","6,781,180.57"
"REL","GB00B2B0DG97","B2B0DG9","REED ELSEVIER PLC","0.2221","Equity","Consumer Discretionary","United Kingdom","$6,625,759","392,423","16.88","London Stock Exchange","USD","GBP","0.64","6,625,759.21"
"GBP","-","-","GBP CASH","0.2200","Cash","Cash and/or Derivatives","United Kingdom","$6,564,485","4,218","155.62","-","USD","GBP","0.64","6,564,484.67"
"EXPN","GB00B19NLV48","B19NLV4","EXPERIAN PLC","0.2187","Equity","Industrials","United Kingdom","$6,526,298","356,319","18.32","London Stock Exchange","USD","GBP","0.64","6,526,298.01"
"AKZA","NL0000009132","5458314","AKZO NOBEL NV","0.2146","Equity","Materials","Netherlands","$6,403,402","83,742","76.47","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.90","6,403,402.00"
"INVE B","SE0000107419","5679591","INVESTOR B","0.2136","Equity","Financials","Sweden","$6,374,207","156,724","40.67","Nasdaq Omx Nordic","USD","SEK","8.29","6,374,207.22"
"FME","DE0005785802","5129074","FRESENIUS MEDICAL CARE AG","0.2116","Equity","Health Care","Germany","$6,313,737","73,798","85.55","Xetra","USD","EUR","0.90","6,313,736.82"
"AH","NL0010672325","BKWP5S5","KONINKLIJKE AHOLD NV","0.2100","Equity","Consumer Staples","Netherlands","$6,266,476","309,098","20.27","Nyse Euronext - Euronext Amsterdam","USD","EUR","0.90","6,266,475.74"
"HOLN","CH0012214059","7110753","HOLCIM LTD","0.2097","Equity","Materials","Switzerland","$6,256,877","77,631","80.60","Six Swiss Exchange Ag","USD","CHF","0.93","6,256,876.51"
"NXT","GB0032089863","3208986","NEXT PLC","0.2055","Equity","Consumer Discretionary","United Kingdom","$6,131,083","53,314","115.00","London Stock Exchange","USD","GBP","0.64","6,131,082.54"
"SKY","GB0001411924","0141192","SKY PLC","0.2038","Equity","Consumer Discretionary","United Kingdom","$6,080,742","362,146","16.79","London Stock Exchange","USD","GBP","0.64","6,080,742.24"
"ACA","FR0000045072","7262610","CREDIT AGRICOLE SA","0.2034","Equity","Financials","France","$6,069,189","391,405","15.51","Nyse Euronext - Euronext Paris","USD","EUR","0.90","6,069,188.85"
"KNEBV","FI0009013403","B09M9D2","KONE","0.2024","Equity","Industrials","Finland","$6,038,130","138,058","43.74","Nasdaq Omx Helsinki Ltd.","USD","EUR","0.90","6,038,129.95"
"ADS","DE000A1EWWW0","4031976","ADIDAS AG","0.1992","Equity","Consumer Discretionary","Germany","$5,942,217","71,989","82.54","Xetra","USD","EUR","0.90","5,942,217.04"
