iShares U.S. Energy ETF
Inception Date,"Jun 12, 2000"
Fund Holdings as of,"05-Aug-2015"
Total Net Assets,"$1,204,139,587"
Shares Outstanding,"31,400,000"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,ISIN,SEDOL,Weight (%),Sector,Asset Class,Market Value,Shares,Price,Exchange,Notional Value
"CRC","CALIFORNIA RESOURCES CORP","US13057Q1076","BRJ3H52","0.0903","Energy","Equity","$1,068,526","254,411","4.20","New York Stock Exchange Inc.","1,068,526.20"
"ATW","ATWOOD OCEANICS INC.","US0500951084","2062440","0.0812","Energy","Equity","$960,058","49,925","19.23","New York Stock Exchange Inc.","960,057.75"
"OAS","OASIS PETROLEUM INC.","US6742151086","B64R5J2","0.0811","Energy","Equity","$959,231","114,878","8.35","New York Stock Exchange Inc.","959,231.30"
"SLCA","US SILICA HOLDINGS INC","US90346E1038","B7GGNT0","0.0794","Energy","Equity","$939,379","43,999","21.35","New York Stock Exchange Inc.","939,378.65"
"DNR","DENBURY RESOURCES INC","US2479162081","2418474","0.0774","Energy","Equity","$915,052","294,229","3.11","New York Stock Exchange Inc.","915,052.19"
"CKH","SEACOR HOLDINGS INC.","US8119041015","2797838","0.0760","Energy","Equity","$899,669","14,285","62.98","New York Stock Exchange Inc.","899,669.30"
"MDR","MCDERMOTT INTERNATIONAL INC","PA5800371096","2550310","0.0721","Energy","Equity","$853,400","195,734","4.36","New York Stock Exchange Inc.","853,400.24"
"UPL","ULTRA PETROLEUM CORP","CA9039141093","2714440","0.0689","Energy","Equity","$814,977","126,353","6.45","New York Stock Exchange Inc.","814,976.85"
"LPI","LAREDO PETROLEUM INC","US5168061068","B7DX5X2","0.0678","Energy","Equity","$802,105","102,966","7.79","New York Stock Exchange Inc.","802,105.14"
"FET","FORUM ENERGY TECHNOLOGIES INC","US34984V1008","B4K4F48","0.0624","Energy","Equity","$737,889","50,924","14.49","New York Stock Exchange Inc.","737,888.76"
"TDW","TIDEWATER INC.","US8864231027","2891859","0.0570","Energy","Equity","$673,850","38,861","17.34","New York Stock Exchange Inc.","673,849.74"
"HLX","HELIX ENERGY SOLUTIONS GROUP INC.","US42330P1075","2037062","0.0546","Energy","Equity","$646,038","81,365","7.94","New York Stock Exchange Inc.","646,038.10"
"GTLS","CHART INDUSTRIES INC.","US16115Q3083","B19HNF4","0.0540","Industrials","Equity","$638,512","25,168","25.37","NASDAQ","638,512.16"
"UNT","UNIT CORP.","US9092181091","2925833","0.0519","Energy","Equity","$614,074","38,621","15.90","New York Stock Exchange Inc.","614,073.90"
"CRR","CARBO CERAMICS INC.","US1407811058","2238821","0.0422","Energy","Equity","$499,538","16,261","30.72","New York Stock Exchange Inc.","499,537.92"
"SGY","STONE ENERGY CORP.","US8616421066","2850281","0.0209","Energy","Equity","$247,350","47,751","5.18","New York Stock Exchange Inc.","247,350.18"
"SD","SANDRIDGE ENERGY INC.","US80007P3073","B28M896","0.0136","Energy","Equity","$160,701","321,080","0.50","New York Stock Exchange Inc.","160,700.54"
"EXXI","ENERGY XXI (BERMUDA) LTD.","BMG100821401","B1YBPT9","0.0096","Energy","Equity","$113,233","77,557","1.46","NASDAQ","113,233.22"
 
